timestamp,ticker,bid_price,bid_size,ask_price,ask_size,last_trade_price,last_trade_size
2025-08-04 11:20:56,SPY,2.4500,"5,019",2.5000,"5,005",2.4550,1
2025-08-04 11:20:58,SPY,630.10,370,630.15,480,630.12,1
2025-08-04 11:21:00,SPY,630.10,370,630.15,480,630.12,1
2025-08-04 11:21:02,SPY,630.10,370,630.15,200,630.13,20
2025-08-04 11:21:04,SPY,630.12,323,630.17,200,630.13,20
2025-08-04 11:21:07,SPY,630.12,323,630.17,200,630.13,20
2025-08-04 11:21:09,SPY,630.12,323,630.17,200,630.13,20
2025-08-04 11:21:11,SPY,630.12,323,630.17,200,630.13,20
2025-08-04 11:21:13,SPY,630.12,370,630.17,300,630.13,2
2025-08-04 11:21:15,SPY,630.12,370,630.17,300,630.13,2
2025-08-04 11:21:17,SPY,630.12,370,630.17,300,630.13,2
2025-08-04 11:21:19,SPY,630.08,452,630.13,"1,480",630.08,48
2025-08-04 11:21:21,SPY,630.08,452,630.13,"1,480",630.08,48
2025-08-04 11:21:23,SPY,630.08,452,630.13,"1,480",630.08,48
2025-08-04 11:21:26,SPY,630.08,350,630.13,"1,380",630.08,5
2025-08-04 11:21:28,SPY,630.08,350,630.13,"1,380",630.08,5
2025-08-04 11:21:30,SPY,630.08,350,630.13,"1,380",630.08,5
2025-08-04 11:21:32,SPY,630.05,300,630.10,"1,450",630.09,80
2025-08-04 11:21:34,SPY,630.05,300,630.10,"1,450",630.09,80
2025-08-04 11:21:36,SPY,630.05,300,630.10,"1,450",630.09,80
2025-08-04 11:21:38,SPY,630.05,400,630.10,"1,570",630.08,1
2025-08-04 11:21:40,SPY,630.05,400,630.10,"1,570",630.08,1
2025-08-04 11:21:42,SPY,630.05,250,630.10,"1,550",630.06,86
2025-08-04 11:21:45,SPY,630.05,250,630.10,"1,550",630.06,86
2025-08-04 11:21:47,SPY,630.05,250,630.10,"1,550",630.06,86
2025-08-04 11:21:49,SPY,630.01,350,630.07,450,630.04,43
2025-08-04 11:21:51,SPY,630.01,350,630.07,450,630.04,43
2025-08-04 11:21:53,SPY,630.01,350,630.07,450,630.04,43
2025-08-04 11:21:55,SPY,630.06,360,630.11,560,630.07,40
2025-08-04 11:21:57,SPY,630.06,360,630.11,560,630.07,40
2025-08-04 11:21:59,SPY,630.06,360,630.11,560,630.07,40
2025-08-04 11:22:02,SPY,630.05,300,630.10,"1,470",630.06,3
2025-08-04 11:22:04,SPY,630.05,300,630.10,"1,470",630.06,3
2025-08-04 11:22:06,SPY,630.05,300,630.10,"1,470",630.06,3
2025-08-04 11:22:08,SPY,630.06,160,630.11,580,630.06,60
2025-08-04 11:22:10,SPY,630.06,160,630.11,580,630.06,60
2025-08-04 11:22:12,SPY,630.06,160,630.11,580,630.06,60
2025-08-04 11:22:14,SPY,630.00,580,630.05,"1,450",630.03,100
2025-08-04 11:22:16,SPY,630.00,580,630.05,"1,450",630.03,100
2025-08-04 11:22:19,SPY,630.01,250,630.06,650,630.01,7
2025-08-04 11:22:21,SPY,630.01,250,630.06,650,630.01,7
2025-08-04 11:22:23,SPY,630.01,250,630.06,650,630.01,7
2025-08-04 11:22:25,SPY,630.05,250,630.10,300,630.04,17
2025-08-04 11:22:27,SPY,630.05,250,630.10,300,630.04,17
2025-08-04 11:22:29,SPY,630.05,250,630.10,300,630.04,17
2025-08-04 11:22:31,SPY,630.01,350,630.06,750,630.04,66
2025-08-04 11:22:33,SPY,630.01,350,630.06,750,630.04,66
2025-08-04 11:22:35,SPY,630.01,350,630.06,750,630.04,66
2025-08-04 11:22:38,SPY,630.00,360,630.06,750,630.03,100
2025-08-04 11:22:40,SPY,630.00,360,630.06,750,630.03,100
2025-08-04 11:22:42,SPY,630.00,360,630.06,750,630.03,100
2025-08-04 11:22:44,SPY,630.05,350,630.10,300,630.04,47
2025-08-04 11:22:46,SPY,630.05,350,630.10,300,630.04,47
2025-08-04 11:22:48,SPY,630.05,350,630.10,300,630.04,47
2025-08-04 11:22:50,SPY,630.06,860,630.11,520,630.07,100
2025-08-04 11:22:52,SPY,630.06,860,630.11,520,630.07,100
2025-08-04 11:22:54,SPY,630.06,160,630.11,520,630.08,67
2025-08-04 11:22:56,SPY,630.06,160,630.11,520,630.08,67
2025-08-04 11:22:59,SPY,630.06,160,630.11,520,630.08,67
2025-08-04 11:23:01,SPY,630.05,261,630.10,"1,441",630.10,19
2025-08-04 11:23:03,SPY,630.05,261,630.10,"1,441",630.10,19
2025-08-04 11:23:05,SPY,630.05,261,630.10,"1,441",630.10,19
2025-08-04 11:23:07,SPY,630.05,361,630.10,"1,341",630.06,1
2025-08-04 11:23:09,SPY,630.05,361,630.10,"1,341",630.06,1
2025-08-04 11:23:11,SPY,630.05,361,630.10,"1,341",630.06,1
2025-08-04 11:23:13,SPY,630.06,100,630.11,520,630.05,5
2025-08-04 11:23:16,SPY,630.06,100,630.11,520,630.05,5
2025-08-04 11:23:18,SPY,630.06,100,630.11,520,630.05,5
2025-08-04 11:23:20,SPY,630.06,350,630.11,570,630.05,5
2025-08-04 11:23:22,SPY,630.06,350,630.11,570,630.05,5
2025-08-04 11:23:24,SPY,630.06,350,630.11,570,630.05,5
2025-08-04 11:23:26,SPY,629.9700,98,630.0200,700,629.9700,20
2025-08-04 11:23:28,SPY,629.9700,98,630.0200,700,629.9700,20
2025-08-04 11:23:30,SPY,630.02,270,630.07,500,630.02,19
2025-08-04 11:23:32,SPY,630.02,270,630.07,500,630.02,19
2025-08-04 11:23:34,SPY,630.02,270,630.07,500,630.02,19
2025-08-04 11:23:36,SPY,630.0200,300,630.0700,500,630.0500,4
2025-08-04 11:23:39,SPY,630.0200,300,630.0700,500,630.0500,4
2025-08-04 11:23:41,SPY,630.0200,300,630.0700,500,630.0500,4
2025-08-04 11:23:43,SPY,630.0100,280,630.0600,220,630.0300,100
2025-08-04 11:23:45,SPY,630.0100,280,630.0600,220,630.0300,100
2025-08-04 11:23:47,SPY,630.0100,280,630.0600,220,630.0300,100
2025-08-04 11:23:49,SPY,630.03,370,630.09,200,630.03,10
2025-08-04 11:23:51,SPY,630.03,370,630.09,200,630.03,10
2025-08-04 11:23:53,SPY,630.03,370,630.09,200,630.03,10
2025-08-04 11:23:55,SPY,630.03,270,630.08,"1,320",630.04,47
2025-08-04 11:23:58,SPY,630.03,270,630.08,"1,320",630.04,47
2025-08-04 11:24:00,SPY,630.03,270,630.08,"1,320",630.04,47
2025-08-04 11:24:02,SPY,630.02,400,630.07,560,630.03,53
2025-08-04 11:24:04,SPY,630.02,400,630.07,560,630.03,53
2025-08-04 11:24:06,SPY,630.02,400,630.07,560,630.03,53
2025-08-04 11:24:08,SPY,630.03,358,630.08,"1,200",630.04,100
2025-08-04 11:24:10,SPY,630.03,358,630.08,"1,200",630.04,100
2025-08-04 11:24:12,SPY,630.03,358,630.08,"1,200",630.04,100
2025-08-04 11:24:14,SPY,630.03,354,630.09,520,630.03,4
2025-08-04 11:24:16,SPY,630.03,354,630.09,520,630.03,4
2025-08-04 11:24:19,SPY,630.00,250,630.05,250,630.03,4
2025-08-04 11:24:21,SPY,630.00,250,630.05,250,630.03,4
2025-08-04 11:24:23,SPY,630.00,250,630.05,250,630.03,4
2025-08-04 11:24:25,SPY,630.00,450,630.05,250,630.00,86
timestamp,ticker,bid_price,bid_size,ask_price,ask_size,last_trade_price,last_trade_size
2025-08-04 11:37:52,SPY,2.4700,"1,208",2.5200,"1,500",2.4800,10
2025-08-04 11:37:54,SPY,630.18,380,630.23,500,630.19,93
2025-08-04 11:37:56,SPY,630.18,380,630.23,500,630.19,93
2025-08-04 11:37:59,SPY,630.17,470,630.22,"1,470",630.18,100
2025-08-04 11:38:01,SPY,630.17,470,630.22,"1,470",630.18,100
2025-08-04 11:38:03,SPY,630.17,470,630.22,"1,470",630.18,100
2025-08-04 11:38:05,SPY,630.17,470,630.22,"1,470",630.18,100
2025-08-04 11:38:07,SPY,630.17,470,630.22,"1,470",630.18,100
2025-08-04 11:38:09,SPY,630.22,360,630.27,200,630.23,80
2025-08-04 11:38:11,SPY,630.22,360,630.27,200,630.23,80
2025-08-04 11:38:13,SPY,630.22,360,630.27,200,630.23,80
2025-08-04 11:38:16,SPY,630.2400,560,630.2900,301,630.2400,13
2025-08-04 11:38:18,SPY,630.2400,560,630.2900,301,630.2400,13
2025-08-04 11:38:20,SPY,630.2400,560,630.2900,301,630.2400,13
2025-08-04 11:38:22,SPY,630.24,560,630.29,401,630.25,50
2025-08-04 11:38:24,SPY,630.24,560,630.29,401,630.25,50
2025-08-04 11:38:26,SPY,630.24,560,630.29,401,630.25,50
2025-08-04 11:38:28,SPY,630.24,400,630.29,221,630.25,50
2025-08-04 11:38:30,SPY,630.24,400,630.29,221,630.25,50
2025-08-04 11:38:33,SPY,630.23,450,630.28,500,630.24,100
2025-08-04 11:38:35,SPY,630.23,450,630.28,500,630.24,100
2025-08-04 11:38:37,SPY,630.23,450,630.28,500,630.24,100
2025-08-04 11:38:39,SPY,630.20,469,630.25,"1,450",630.23,100
2025-08-04 11:38:41,SPY,630.20,469,630.25,"1,450",630.23,100
2025-08-04 11:38:43,SPY,630.20,469,630.25,"1,450",630.23,100
2025-08-04 11:38:45,SPY,630.22,600,630.27,"1,350",630.22,100
2025-08-04 11:38:47,SPY,630.22,600,630.27,"1,350",630.22,100
2025-08-04 11:38:50,SPY,630.22,600,630.27,"1,350",630.22,100
2025-08-04 11:38:52,SPY,630.25,450,630.30,200,630.23,50
2025-08-04 11:38:54,SPY,630.25,450,630.30,200,630.23,50
2025-08-04 11:38:56,SPY,630.25,450,630.30,200,630.23,50
2025-08-04 11:38:58,SPY,630.23,480,630.28,500,630.25,100
2025-08-04 11:39:00,SPY,630.23,480,630.28,500,630.25,100
2025-08-04 11:39:02,SPY,630.23,504,630.28,500,630.25,100
2025-08-04 11:39:05,SPY,630.23,504,630.28,500,630.25,100
2025-08-04 11:39:07,SPY,630.23,504,630.28,500,630.25,100
2025-08-04 11:39:09,SPY,630.19,501,630.24,751,630.19,21
2025-08-04 11:39:11,SPY,630.19,501,630.24,751,630.19,21
2025-08-04 11:39:13,SPY,630.19,501,630.24,751,630.19,21
2025-08-04 11:39:15,SPY,630.22,607,630.27,"1,309",630.20,70
2025-08-04 11:39:17,SPY,630.22,607,630.27,"1,309",630.20,70
