,symbol
0,GOOG
1,KCS
2,EVR
3,JWN
4,BAC
5,GS
6,DSSMY
7,SPOT
8,GOOG
9,IAS
10,META
11,EVR
12,TGT
13,CVS
14,GOOG
15,ULTA
16,SBUX
17,MS
18,FDX
19,HCSG
