symbol
META
ACHR
TSM
FOX
SPXL
PDD
BA
FXI
AAPL
KO
DDD
DIS
INTC
BBW
UNG
YUMC
ADM
NVDA
EWW
BP
BBAI
SMCI
UL
AI
KOPN
X
GM
COIN
BX
CFLT
INDA
UGL
MAT
BHAT
