Ticker
TSM
PLTR
NXPI
PYPL
SPOT
PFE
RACE
PEP
MRK
EL
ADM
UBS
KKR
EPD
CMI
TDG
MGC
APO
GOOGL
AMD
GOOG
CMG
SNAP
ENPH
FICO
EA
MDLZ
AMGN
LUMN
SPG
UBER
DIS
NVO
TM
TROW
FI
EMR
CPRI
GSK
BSX
ITW
SWK
AMTM
QCOM
ARM
MSTR
F
SYM
VKTX
BLBD
SWKS
AMSC
ORLY
AFL
LLY
RBLX
HSY
PTON
HON
UA
BMY
LIN
PM
AZN
K
HLT
APD
YUMC
COP
AMZN
NET
FTNT
PINS
AFRM
ELF
POWL
TTWO
MCHP
BILL
